11.270,0.091,11.145
11.370,0.070,11.172
11.150,0.100,11.179
11.349,0.099,11.213
10.957,0.108,11.192
10.524,0.067,11.094
11.291,0.107,11.127
10.727,0.066,11.060
10.682,0.045,10.984
10.516,0.104,10.917
10.730,0.044,10.859
11.493,0.103,10.940
10.635,0.082,10.887
11.786,0.061,10.991
10.947,0.081,10.980
10.467,0.100,10.911
11.766,0.079,11.020
11.544,0.038,11.074
10.901,0.058,11.044
10.148,0.037,10.901
11.004,0.056,10.899
10.930,0.085,10.900
10.234,0.095,10.807
9.968,0.094,10.683
11.591,0.093,10.796
11.373,0.072,10.863
11.185,0.062,10.895
11.066,0.071,10.914
11.326,0.040,10.954
10.645,0.049,10.902
10.304,0.089,10.823
11.542,0.098,10.927
9.789,0.047,10.756
11.295,0.056,10.813
9.741,0.076,10.657
11.216,0.095,10.728
10.350,0.084,10.669
11.454,0.053,10.756
11.246,0.033,10.801
10.108,0.082,10.706
10.160,0.071,10.620
10.540,0.091,10.603
10.500,0.030,10.555
9.999,0.029,10.443
9.748,0.028,10.306
9.486,0.068,10.162
11.093,0.017,10.234
11.109,0.086,10.338
9.835,0.026,10.231
10.410,0.035,10.219
9.994,0.014,10.144
10.887,0.014,10.203
9.390,0.083,10.081
9.172,0.042,9.921
10.804,0.012,9.990
10.165,0.011,9.968
9.505,0.070,9.885
10.054,0.069,9.886
9.453,0.049,9.796
9.131,0.058,9.673
10.309,0.077,9.734
8.986,0.027,9.586
9.462,0.036,9.523
10.317,0.055,9.596
8.692,0.055,9.439
8.846,0.044,9.313
8.530,0.064,9.162
9.073,0.033,9.089
9.005,0.072,9.033
8.297,0.042,8.872
8.507,0.071,8.769
8.248,0.030,8.624
9.698,0.050,8.706
9.477,0.069,8.766
8.615,-0.001,8.674
8.753,0.048,8.635
8.910,0.047,8.625
8.057,0.057,8.504
9.183,0.046,8.548
9.069,0.065,8.585
9.404,-0.005,8.640
7.858,-0.006,8.478
7.842,0.024,8.343
8.755,0.053,8.361
8.307,-0.007,8.293
8.619,0.032,8.295
8.041,0.001,8.206
8.802,0.061,8.260
7.782,0.040,8.161
7.492,0.010,8.017
7.981,0.059,7.978
8.490,-0.001,7.989
8.058,0.058,7.970
7.325,0.018,7.834
8.332,0.057,7.869
7.459,0.037,7.774
8.695,0.036,7.861
6.930,0.036,7.698
8.395,-0.015,7.733
7.900,-0.006,7.706
7.714,0.054,7.683
6.517,0.023,7.484
7.970,0.003,7.496
6.443,0.003,7.297
7.215,-0.018,7.216
7.427,0.032,7.197
6.138,0.041,7.007
7.598,-0.019,7.013
6.558,-0.020,6.878
7.058,0.030,6.850
7.007,0.019,6.817
6.766,0.039,6.765
7.055,-0.022,6.735
5.633,0.008,6.526
11.810,-0.002,7.198
5.707,0.047,6.995
5.864,-0.013,6.800
7.180,0.046,6.833
5.236,0.016,6.579
5.632,0.015,6.401
6.467,0.015,6.356
5.951,-0.015,6.233
6.086,0.044,6.168
5.510,0.044,6.031
5.913,-0.006,5.942
6.507,0.023,5.961
5.389,0.003,5.818
4.882,0.043,5.636
5.334,-0.008,5.513
6.176,-0.018,5.518
5.687,0.021,5.479
5.319,-0.029,5.375
4.539,-0.029,5.175
4.730,-0.029,5.022
4.450,0.000,4.861
4.530,-0.000,4.728
5.000,-0.030,4.665
4.479,0.039,4.572
5.648,-0.001,4.637
4.107,0.029,4.502
3.525,-0.002,4.286
4.604,-0.032,4.230
5.121,-0.012,4.267
4.049,0.028,4.176
4.087,0.037,4.105
4.034,0.007,4.024
4.591,0.037,4.045
4.058,-0.003,3.977
3.034,0.017,3.785
4.540,0.026,3.827
3.576,0.026,3.735
2.782,0.016,3.539
3.808,0.016,3.505
3.593,0.005,3.446
3.349,-0.025,3.348
2.554,0.015,3.171
4.149,0.015,3.234
2.524,-0.025,3.054
2.958,0.005,2.967
3.623,0.024,2.994
2.467,-0.016,2.845
2.681,-0.036,2.734
2.315,-0.036,2.586
2.899,0.004,2.555
3.013,0.024,2.557
3.207,-0.006,2.579
2.890,-0.006,2.560
2.954,0.013,2.565
2.467,-0.007,2.497
1.401,0.003,2.292
2.214,0.023,2.229
1.827,0.033,2.124
